jour,gain_fcr_eur,gain_afrr_symetrique_eur,gain_afrr_hausse_eur,gain_afrr_baisse_eur,gain_mfrr_hausse_eur,gain_mfrr_baisse_eur,gain_total_eur
2024-01-10,53.88375,1060.8000000000002,,,291.979968,,1406.6637180000002
2024-01-11,48.92,1060.8000000000002,,,270.228958,,1379.9489580000002
2024-01-12,44.7725,1060.8000000000002,,,222.18,,1327.7525000000003
2024-01-13,55.152499999999996,1060.8000000000002,,,22.106009999999998,,1138.05851
2024-01-14,54.64,1060.8000000000002,,,47.094728,,1162.5347280000003
2024-01-15,46.502500000000005,1060.8000000000002,,,73.08,,1180.3825000000002
2024-01-16,47.1725,1060.8000000000002,,,657.199968,,1765.1724680000002
2024-01-17,43.54,1060.8000000000002,,,213.391603,,1317.7316030000002
2024-01-18,89.64,1060.8000000000002,,,89.76,,1240.2000000000003
2024-01-19,46.456250000000004,1060.8000000000002,,,145.179936,,1252.4361860000001
2024-01-20,72.03,1060.8000000000002,,,37.790416,,1170.6204160000002
2024-01-21,75.34,1060.8000000000002,,,44.659968,,1180.799968
2024-01-22,149.38,1060.8000000000002,,,82.541218,,1292.7212180000004
2024-01-23,62.54,1060.8000000000002,,,198.780593,,1322.120593
2024-01-24,45.87375,1060.8000000000002,,,58.539936,,1165.213686
2024-01-25,41.12,1060.8000000000002,,,182.599968,,1284.519968
2024-01-26,71.395,1060.8000000000002,,,44.659968,,1176.854968
2024-01-27,59.64,1060.8000000000002,,,6.759936000000001,,1127.1999360000002
2024-01-28,80.28,1060.8000000000002,,,32.409936,,1173.4899360000002
2024-01-29,54.555,1060.8000000000002,,,30.027916,,1145.3829160000003
2024-01-30,55.8,1060.8000000000002,,,225.49996800000002,,1342.0999680000002
2024-01-31,75.46000000000001,1060.8000000000002,,,37.479935999999995,,1173.7399360000002
2024-02-01,77.9975,1060.8000000000002,,,139.99996800000002,,1278.7974680000002
2024-02-02,83.74,1060.8000000000002,,,69.75993600000001,,1214.2999360000001
2024-02-03,50.14,1060.8000000000002,,,11.018301,,1121.9583010000003
2024-02-04,56.86,1060.8000000000002,,,10.320833,,1127.980833
2024-02-05,39.62,1060.8000000000002,,,60.0,,1160.42
2024-02-06,66.28,1060.8000000000002,,,68.779968,,1195.8599680000002
2024-02-07,34.32,1060.8000000000002,,,84.078958,,1179.1989580000002
2024-02-08,69.63,1060.8000000000002,,,60.0,,1190.4300000000003
2024-02-09,38.64,1060.8000000000002,,,46.239936,,1145.6799360000002
2024-02-10,50.96,1060.8000000000002,,,92.679936,,1204.4399360000002
2024-02-11,42.5,1060.8000000000002,,,50.599968,,1153.8999680000002
2024-02-12,50.085,1060.8000000000002,,,343.779936,,1454.6649360000001
2024-02-13,37.88,1060.8000000000002,,,230.25993599999998,,1328.9399360000002
2024-02-14,45.32,1060.8000000000002,,,139.2,,1245.3200000000002
2024-02-15,79.72,1060.8000000000002,,,98.50827,,1239.0282700000002
2024-02-16,43.03,1060.8000000000002,,,83.4,,1187.2300000000002
2024-02-17,50.8575,1060.8000000000002,,,139.2,,1250.8575000000003
2024-02-18,35.835,1060.8000000000002,,,64.03125,,1160.6662500000002
2024-02-19,38.24,1060.8000000000002,,,166.82952,,1265.8695200000002
2024-02-20,35.12,1060.8000000000002,,,199.66580100000002,,1295.5858010000002
2024-02-21,37.795,1060.8000000000002,,,72.205208,,1170.8002080000003
2024-02-22,50.22,1060.8000000000002,,,36.139968,,1147.1599680000002
2024-02-23,84.88,1060.8000000000002,,,145.74,,1291.4200000000003
2024-02-24,42.525,1060.8000000000002,,,60.0,,1163.3250000000003
2024-02-25,55.44,1060.8000000000002,,,60.0,,1176.2400000000002
2024-02-26,43.92,1060.8000000000002,,,108.11351,,1212.8335100000002
2024-02-27,83.72,1060.8000000000002,,,139.2,,1283.7200000000003
2024-02-28,38.8025,1060.8000000000002,,,139.2,,1238.8025000000002
2024-02-29,77.96,1060.8000000000002,,,82.21976,,1220.9797600000002
2024-03-01,59.12,1060.8000000000002,,,178.975208,,1298.8952080000001
2024-03-02,41.379999999999995,1060.8000000000002,,,69.661395,,1171.8413950000004
2024-03-03,36.8,1060.8000000000002,,,139.2,,1236.8000000000002
2024-03-04,44.4125,1060.8000000000002,,,367.98,,1473.1925
2024-03-05,50.32,1060.8000000000002,,,139.2,,1250.3200000000002
2024-03-06,34.839999999999996,1060.8000000000002,,,139.99996800000002,,1235.6399680000002
2024-03-07,36.84,1060.8000000000002,,,130.598958,,1228.2389580000001
2024-03-08,36.0,1060.8000000000002,,,53.629135000000005,,1150.429135
2024-03-09,36.2325,1060.8000000000002,,,27.644968000000002,,1124.6774680000003
2024-03-10,37.72,1060.8000000000002,,,60.0,,1158.5200000000002
2024-03-11,48.36,1060.8000000000002,,,83.19577,,1192.3557700000001
2024-03-12,40.48,1060.8000000000002,,,113.10000000000001,,1214.38
2024-03-13,39.525,1060.8000000000002,,,129.42000000000002,,1229.7450000000003
2024-03-14,77.84,1060.8000000000002,,,80.69288499999999,,1219.332885
2024-03-15,37.92,1060.8000000000002,,,49.384102999999996,,1148.1041030000004
2024-03-16,37.714999999999996,1060.8000000000002,,,40.62,,1139.135
2024-03-17,64.6075,1060.8000000000002,,,199.99996800000002,,1325.4074680000003
2024-03-18,40.265,1060.8000000000002,,,199.99996800000002,,1301.0649680000004
2024-03-19,36.4275,1060.8000000000002,,,199.99996800000002,,1297.2274680000003
2024-03-20,55.3025,1060.8000000000002,,,120.833333,,1236.9358330000002
2024-03-21,39.06,1060.8000000000002,,,316.175,,1416.035
2024-03-22,39.16,1060.8000000000002,,,109.80000000000001,,1209.7600000000002
2024-03-23,37.8425,1060.8000000000002,,,5.479968,,1104.1224680000003
2024-03-24,36.75,1060.8000000000002,,,168.207083,,1265.7570830000002
2024-03-25,52.36,1060.8000000000002,,,697.939968,,1811.099968
2024-03-26,37.72,1060.8000000000002,,,199.99996800000002,,1298.5199680000003
2024-03-27,37.5925,1060.8000000000002,,,199.99996800000002,,1298.3924680000002
2024-03-28,39.2,1060.8000000000002,,,165.562468,,1265.5624680000003
2024-03-29,35.48,1060.8000000000002,,,199.99996800000002,,1296.2799680000003
2024-03-30,39.144166,1060.8000000000002,,,51.859343,,1151.8035090000003
2024-03-31,34.993331,11.05,,,0.523958,,46.567288999999995
2024-04-01,37.76,1060.8000000000002,,,8.22,,1106.7800000000002
2024-04-02,93.17999999999999,1060.8000000000002,,,48.61476,,1202.5947600000002
